traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value,timeStamp
4943622728650fea,b1150736661bd5ce,post-storage-service,MongoInsertPost,1635326802154422,1635326802154,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,1adb1a2821f94652,4943622728650fea,,,,2021-10-27 09:26:42.154422
4943622728650fea,22dec522af0d5e14,user-timeline-service,RedisUpdate,1635326802155375,1635326802155,5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,de04610074c098e6,4943622728650fea,,,,2021-10-27 09:26:42.155375
4943622728650fea,a88cecaee953733f,write-home-timeline-service,FanoutHomeTimelines,1635326802172849,1635326802172,13983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,87e057bcc176d847,4943622728650fea,,,,2021-10-27 09:26:42.172849
4943622728650fea,35f071bac7586208,social-graph-service,GetFollowers,1635326802174748,1635326802174,2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,a88cecaee953733f,4943622728650fea,,,,2021-10-27 09:26:42.174748
4943622728650fea,ce61576fbc70759e,social-graph-service,RedisGet,1635326802174763,1635326802174,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,35f071bac7586208,4943622728650fea,,,,2021-10-27 09:26:42.174763
4943622728650fea,b36219435a7a3119,social-graph-service,MongoFindUser,1635326802175400,1635326802175,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,35f071bac7586208,4943622728650fea,,,,2021-10-27 09:26:42.175400
4943622728650fea,d844d5edc8158945,social-graph-service,RedisInsert,1635326802176158,1635326802176,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,35f071bac7586208,4943622728650fea,,,,2021-10-27 09:26:42.176158
4943622728650fea,4233fb80379983a8,write-home-timeline-service,RedisUpdate,1635326802177140,1635326802177,9653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,a88cecaee953733f,4943622728650fea,,,,2021-10-27 09:26:42.177140
47d6d9bc1e46ec3d,47d6d9bc1e46ec3d,nginx-web-server,/wrk2-api/user/register,1635326802258000,1635326802258,6060,string,sampler.type,const,bool,sampler.param,true,int64,http.status_code,200,string,http.status_line,,string,component,nginx,string,nginx.worker_pid,19,string,peer.address,172.21.0.1:55256,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/user/register,string,http.host,localhost:8080,,,,,,,2021-10-27 09:26:42.258000
47d6d9bc1e46ec3d,eae434b3d4aba184,nginx-web-server,/wrk2-api/user/register,1635326802258497,1635326802258,5563,string,component,nginx,string,nginx.worker_pid,19,string,peer.address,172.21.0.1:55256,string,http.method,POST,string,http.url,http://localhost:8080/wrk2-api/user/register,string,http.host,localhost:8080,int64,http.status_code,200,string,http.status_line,,,,,,,,CHILD_OF,47d6d9bc1e46ec3d,47d6d9bc1e46ec3d,,,,2021-10-27 09:26:42.258497
47d6d9bc1e46ec3d,464d9922229f409f,nginx-web-server,RegisterUser,1635326802258717,1635326802258,5103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,eae434b3d4aba184,47d6d9bc1e46ec3d,,,,2021-10-27 09:26:42.258717
47d6d9bc1e46ec3d,9c1892555be62063,user-service,RegisterUserWithId,1635326802259474,1635326802259,4147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,464d9922229f409f,47d6d9bc1e46ec3d,,,,2021-10-27 09:26:42.259474
47d6d9bc1e46ec3d,9ac9dfc56fa49762,user-service,MongoInsertUser,1635326802261941,1635326802261,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,9c1892555be62063,47d6d9bc1e46ec3d,,,,2021-10-27 09:26:42.261941
47d6d9bc1e46ec3d,83e33113dc086b82,social-graph-service,InsertUser,1635326802262704,1635326802262,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,9c1892555be62063,47d6d9bc1e46ec3d,,,,2021-10-27 09:26:42.262704
47d6d9bc1e46ec3d,3563e66f2d4d71f2,social-graph-service,MongoInsertUser,1635326802262745,1635326802262,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,83e33113dc086b82,47d6d9bc1e46ec3d,,,,2021-10-27 09:26:42.262745
