traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags,references,references.0.refType,references.0.spanID,references.0.traceID
1d986e1ca3d336c,969fd0ded79b261,nginx-web-server,register_client,1669361909237288,1669361909237,77046,,,CHILD_OF,65eefb19971b0ec4,1d986e1ca3d336c
ecaf0cf638f0dbb,4e650980980c959a,nginx-web-server,register_client,1669361909237295,1669361909237,107448,,,CHILD_OF,e7e6538196dab79c,ecaf0cf638f0dbb
2d36a447d93e269b,af9fe03fe8a488dd,nginx-web-server,register_client,1669361909237601,1669361909237,72300,,,CHILD_OF,fb611f193e5455c3,2d36a447d93e269b
1e9470952afa07a3,dfdc97ba1b88f60a,nginx-web-server,register_client,1669361909237610,1669361909237,102005,,,CHILD_OF,768987c564cf81,1e9470952afa07a3
41f92cc6265c42a,24ca7101f2f62a93,nginx-web-server,register_client,1669361909237809,1669361909237,76000,,,CHILD_OF,b3edaf45178d2f0d,41f92cc6265c42a
182b9776ab17c2d,16f6d8650100e1ef,nginx-web-server,register_client,1669361909238033,1669361909238,95879,,,CHILD_OF,e68efe38f2afd254,182b9776ab17c2d
1385dc63ba07bd84,5aff00138591d135,nginx-web-server,register_client,1669361909238117,1669361909238,84379,,,CHILD_OF,3193767a73736a7d,1385dc63ba07bd84
bae6d80ae553e1f,e253c3a6a63e2616,nginx-web-server,register_client,1669361909238660,1669361909238,101281,,,CHILD_OF,1cfb96b07910a906,bae6d80ae553e1f
329f6dce00360ffa,8c552c373c312b9d,nginx-web-server,register_client,1669361909238727,1669361909238,86089,,,CHILD_OF,ac4f2e66adfe17d3,329f6dce00360ffa
22b9c1eab281cc67,8ba560802d4245c4,nginx-web-server,register_client,1669361909238800,1669361909238,78731,,,CHILD_OF,f2a90ecf0e98f750,22b9c1eab281cc67
287c6365eb6c7de0,233b06b15a3a996b,nginx-web-server,register_client,1669361909242182,1669361909242,79580,,,CHILD_OF,6213bdb1af3cce9c,287c6365eb6c7de0
1751d54eda9eefe4,d259371e9d3c7e2f,nginx-web-server,register_client,1669361909266907,1669361909266,165821,,,CHILD_OF,1cbb2fdeed0f61eb,1751d54eda9eefe4
7c74b7d1040b1a4,6bc400d04e6585c4,nginx-web-server,register_client,1669361909291959,1669361909291,155070,,,CHILD_OF,e53133f86681303b,7c74b7d1040b1a4
14b29a66b7824a72,20dd9a09b78d818a,nginx-web-server,register_client,1669361909292881,1669361909292,158892,,,CHILD_OF,a3366cf60955f297,14b29a66b7824a72
18c0a1d8036c352d,339eab5d4d46f8ca,nginx-web-server,register_client,1669361909294718,1669361909294,161479,,,CHILD_OF,df4afeaf63d256ef,18c0a1d8036c352d
2e76741206c0a5d5,5dcd62d66acc6884,nginx-web-server,register_client,1669361909295228,1669361909295,161119,,,CHILD_OF,28f212149496516b,2e76741206c0a5d5
28bc1aa751c2c34a,601c182d0e89c7c8,nginx-web-server,register_client,1669361909299802,1669361909299,23134,,,CHILD_OF,95236d4b2432f450,28bc1aa751c2c34a
5bf23fc4b3362b8,ece7dc79a75a558a,nginx-web-server,register_client,1669361909301495,1669361909301,18147,,,CHILD_OF,6803f97321c7a61d,5bf23fc4b3362b8
d47aa5bffd6bdda,6789ceefa2f2c00b,nginx-web-server,register_client,1669361909340355,1669361909340,13647,,,CHILD_OF,4150a5abc978fc12,d47aa5bffd6bdda
21c73b8cdcfd8486,90c0d26dd4631df0,nginx-web-server,register_client,1669361909342135,1669361909342,9968,,,CHILD_OF,b4de02bb44d57ff4,21c73b8cdcfd8486
6e63718f5276be1,c4cbd05c9b8103bd,nginx-web-server,register_client,1669361909345327,1669361909345,25254,,,CHILD_OF,5df13c807dbe819a,6e63718f5276be1
217f15f219f2a803,e9ab89f6f047cbf0,nginx-web-server,register_client,1669361909345850,1669361909345,22889,,,CHILD_OF,d664aaed22b5a729,217f15f219f2a803
24f1d539c7cf95f9,5765e91f240d8b8c,nginx-web-server,register_client,1669361909346842,1669361909346,31744,,,CHILD_OF,b8b16272f2559a16,24f1d539c7cf95f9
2b242018b2031843,7d3437700be0ada8,nginx-web-server,register_client,1669361909583677,1669361909583,82604,,,CHILD_OF,2b46384fdf1e5721,2b242018b2031843
