Node,traceID,nodeID,node_pair,StartTime,Timestamp
2432,6152caaccd9e84f,cef12523d7c167b7,"(29, 31)",1669540963492627,2022-11-27 09:22:43.492627
2433,6152caaccd9e84f,2cffcffaa43aeb11,"(31, 32)",1669540963493251,2022-11-27 09:22:43.493251
2420,6152caaccd9e84f,9a0b81a25abfa0f1,"(20, 26)",1669540963493453,2022-11-27 09:22:43.493453
2421,6152caaccd9e84f,1e8e1e0938c1c4ac,"(20, 21)",1669540963493512,2022-11-27 09:22:43.493512
2434,6152caaccd9e84f,b298f36ee2e9c57b,"(26, 28)",1669540963493598,2022-11-27 09:22:43.493598
2435,6152caaccd9e84f,249e1d93a589d8bf,"(21, 25)",1669540963493724,2022-11-27 09:22:43.493724
2431,6152caaccd9e84f,a7a02aa6a2d88870,"(33, 35)",1669540963493849,2022-11-27 09:22:43.493849
2436,1b17b55f950eaa81,19cd819d0568141f,"(0, 3)",1669540963494000,2022-11-27 09:22:43.494000
2437,1b17b55f950eaa81,1891269a31247b78,"(3, 3)",1669540963494266,2022-11-27 09:22:43.494266
2438,1b17b55f950eaa81,a83ed872b2a98f4e,"(3, 4)",1669540963494342,2022-11-27 09:22:43.494342
2439,1b17b55f950eaa81,6c2a4816041f3e62,"(4, 5)",1669540963494553,2022-11-27 09:22:43.494553
2440,1b17b55f950eaa81,2779a53d7c8100f2,"(5, 6)",1669540963494604,2022-11-27 09:22:43.494604
2441,1b17b55f950eaa81,cf6facff3fdc055a,"(5, 7)",1669540963495414,2022-11-27 09:22:43.495414
2442,1b17b55f950eaa81,f12606b8e678bb2f,"(7, 8)",1669540963495588,2022-11-27 09:22:43.495588
2422,6152caaccd9e84f,5055e483e5e82065,"(20, 36)",1669540963495782,2022-11-27 09:22:43.495782
2443,6152caaccd9e84f,2f51cce22546682d,"(36, 37)",1669540963496558,2022-11-27 09:22:43.496558
2444,6152caaccd9e84f,f1abe000b076587,"(37, 38)",1669540963496578,2022-11-27 09:22:43.496578
2423,6152caaccd9e84f,c05a27aff4531266,"(20, 39)",1669540963497100,2022-11-27 09:22:43.497100
2445,6152caaccd9e84f,5ca6648289d87072,"(39, 40)",1669540963497174,2022-11-27 09:22:43.497174
2446,6152caaccd9e84f,600ceb93ad069d17,"(40, 41)",1669540963497195,2022-11-27 09:22:43.497195
2447,6152caaccd9e84f,89fbf0addf439bdb,"(40, 42)",1669540963497779,2022-11-27 09:22:43.497779
2424,6152caaccd9e84f,36fc27b087544830,"(20, 43)",1669540963498064,2022-11-27 09:22:43.498064
2448,6152caaccd9e84f,25e0085449c77b9d,"(43, 44)",1669540963498160,2022-11-27 09:22:43.498160
2449,6152caaccd9e84f,70a6422170921903,"(44, 45)",1669540963498164,2022-11-27 09:22:43.498164
2451,6152caaccd9e84f,5c37ec1b4412154a,"(45, 46)",1669540963498250,2022-11-27 09:22:43.498250
2452,6152caaccd9e84f,4b8990938c97ba8a,"(46, 47)",1669540963498259,2022-11-27 09:22:43.498259
2450,6152caaccd9e84f,86504414bcf4f06c,"(44, 48)",1669540963498648,2022-11-27 09:22:43.498648
2453,9a29c30dc3840d4,145309cfc6db0061,"(0, 1)",1669540963510000,2022-11-27 09:22:43.510000
2454,9a29c30dc3840d4,5a4c2c344f17ae9b,"(1, 1)",1669540963510931,2022-11-27 09:22:43.510931
2455,9a29c30dc3840d4,72c328da7b139d5d,"(1, 2)",1669540963510992,2022-11-27 09:22:43.510992
2456,9a29c30dc3840d4,b159fde6d4f1f91,"(2, 9)",1669540963511226,2022-11-27 09:22:43.511226
2457,9a29c30dc3840d4,6c2b5fa60b0c4192,"(9, 10)",1669540963511238,2022-11-27 09:22:43.511238
2458,9a29c30dc3840d4,1eef6348210ede22,"(9, 49)",1669540963511466,2022-11-27 09:22:43.511466
2459,9a29c30dc3840d4,cc38e2702498002,"(9, 50)",1669540963512459,2022-11-27 09:22:43.512459
2460,9a29c30dc3840d4,f6d7f532cfe70ae0,"(9, 7)",1669540963512591,2022-11-27 09:22:43.512591
2461,9a29c30dc3840d4,f12606b8e678bb2f,"(7, 8)",1669540963512791,2022-11-27 09:22:43.512791
2462,183038eb1adfd399,19cd819d0568141f,"(0, 3)",1669540963765000,2022-11-27 09:22:43.765000
2463,183038eb1adfd399,1891269a31247b78,"(3, 3)",1669540963765323,2022-11-27 09:22:43.765323
2464,183038eb1adfd399,a83ed872b2a98f4e,"(3, 4)",1669540963765363,2022-11-27 09:22:43.765363
2465,183038eb1adfd399,6c2a4816041f3e62,"(4, 5)",1669540963765524,2022-11-27 09:22:43.765524
2466,183038eb1adfd399,2779a53d7c8100f2,"(5, 6)",1669540963765534,2022-11-27 09:22:43.765534
2467,183038eb1adfd399,cf6facff3fdc055a,"(5, 7)",1669540963765748,2022-11-27 09:22:43.765748
2468,183038eb1adfd399,f12606b8e678bb2f,"(7, 8)",1669540963765811,2022-11-27 09:22:43.765811
2469,304b3d7cb9aabd5e,dbef5a85b1a0f7c,"(0, 18)",1669540964026000,2022-11-27 09:22:44.026000
2470,304b3d7cb9aabd5e,b1e505c3b0950fc,"(18, 18)",1669540964026182,2022-11-27 09:22:44.026182
2471,304b3d7cb9aabd5e,c0d3103705f8196,"(18, 19)",1669540964026348,2022-11-27 09:22:44.026348
2472,304b3d7cb9aabd5e,ee80b2836f7d8427,"(19, 20)",1669540964026612,2022-11-27 09:22:44.026612
2473,304b3d7cb9aabd5e,d1264e5e9e530e4f,"(20, 23)",1669540964026729,2022-11-27 09:22:44.026729
2474,304b3d7cb9aabd5e,9a0b81a25abfa0f1,"(20, 26)",1669540964026776,2022-11-27 09:22:44.026776
2475,304b3d7cb9aabd5e,1e8e1e0938c1c4ac,"(20, 21)",1669540964026827,2022-11-27 09:22:44.026827
2476,304b3d7cb9aabd5e,14d54c0b84890fe7,"(20, 22)",1669540964026848,2022-11-27 09:22:44.026848
2482,304b3d7cb9aabd5e,249e1d93a589d8bf,"(21, 25)",1669540964026927,2022-11-27 09:22:44.026927
2480,304b3d7cb9aabd5e,3e5ec9d0e6cbfb3,"(23, 27)",1669540964026953,2022-11-27 09:22:44.026953
2484,304b3d7cb9aabd5e,c12589d46efcdb70,"(27, 29)",1669540964027254,2022-11-27 09:22:44.027254
2481,304b3d7cb9aabd5e,b298f36ee2e9c57b,"(26, 28)",1669540964027308,2022-11-27 09:22:44.027308
2485,304b3d7cb9aabd5e,c5331ef0c70cfc45,"(27, 30)",1669540964027321,2022-11-27 09:22:44.027321
2483,304b3d7cb9aabd5e,5f50bb91d32803fd,"(22, 24)",1669540964027469,2022-11-27 09:22:44.027469
2486,304b3d7cb9aabd5e,cef12523d7c167b7,"(29, 31)",1669540964027592,2022-11-27 09:22:44.027592
2488,304b3d7cb9aabd5e,2cffcffaa43aeb11,"(31, 32)",1669540964027692,2022-11-27 09:22:44.027692
2487,304b3d7cb9aabd5e,483328b17db5d017,"(30, 33)",1669540964027719,2022-11-27 09:22:44.027719
2489,304b3d7cb9aabd5e,3e80d6c13763ee61,"(33, 34)",1669540964027732,2022-11-27 09:22:44.027732
2490,304b3d7cb9aabd5e,a7a02aa6a2d88870,"(33, 35)",1669540964028296,2022-11-27 09:22:44.028296
2477,304b3d7cb9aabd5e,5055e483e5e82065,"(20, 36)",1669540964029839,2022-11-27 09:22:44.029839
2491,304b3d7cb9aabd5e,2f51cce22546682d,"(36, 37)",1669540964029969,2022-11-27 09:22:44.029969
2492,304b3d7cb9aabd5e,f1abe000b076587,"(37, 38)",1669540964029994,2022-11-27 09:22:44.029994
2478,304b3d7cb9aabd5e,c05a27aff4531266,"(20, 39)",1669540964030557,2022-11-27 09:22:44.030557
2493,304b3d7cb9aabd5e,5ca6648289d87072,"(39, 40)",1669540964030696,2022-11-27 09:22:44.030696
2494,304b3d7cb9aabd5e,600ceb93ad069d17,"(40, 41)",1669540964030720,2022-11-27 09:22:44.030720
2495,304b3d7cb9aabd5e,89fbf0addf439bdb,"(40, 42)",1669540964031341,2022-11-27 09:22:44.031341
2479,304b3d7cb9aabd5e,36fc27b087544830,"(20, 43)",1669540964031650,2022-11-27 09:22:44.031650
2496,304b3d7cb9aabd5e,25e0085449c77b9d,"(43, 44)",1669540964031780,2022-11-27 09:22:44.031780
