traceID,spanID,process.serviceName,operationName,startTimeMillis,startTime,tags,references,tags.0.type,tags.0.key,tags.0.value,tags.1.type,tags.1.key,tags.1.value,tags.2.type,tags.2.key,tags.2.value,tags.3.type,tags.3.key,tags.3.value,tags.4.type,tags.4.key,tags.4.value,tags.5.type,tags.5.key,tags.5.value,tags.6.type,tags.6.key,tags.6.value,tags.7.type,tags.7.key,tags.7.value,tags.8.type,tags.8.key,tags.8.value,tags.9.type,tags.9.key,tags.9.value,references.0.refType,references.0.spanID,references.0.traceID,tags.10.type,tags.10.key,tags.10.value
1199fb88fffa2dd0,5c8f8ed60d41cee6,compose-post-service,compose_media_client,1669667522324,1669667522324709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,bea6d1b3190fb51e,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,8c7b72361e6bb61d,compose-post-service,compose_unique_id_client,1669667522324,1669667522324739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,bea6d1b3190fb51e,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,2585a509e5c31772,compose-post-service,compose_creator_client,1669667522324,1669667522324775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,bea6d1b3190fb51e,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,c267271a6be04638,text-service,compose_text_server,1669667522324,1669667522324832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,ef01bb37f57ddfd3,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,6b9d19b16a4f26dd,media-service,compose_media_server,1669667522324,1669667522324871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,5c8f8ed60d41cee6,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,a90753454a70f33c,unique-id-service,compose_unique_id_server,1669667522325,1669667522325018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,8c7b72361e6bb61d,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,dbe0eedbed3c48a6,text-service,compose_urls_client,1669667522325,1669667522325125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,c267271a6be04638,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,d48b86e5c81e483d,user-service,compose_creator_server,1669667522325,1669667522325184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,2585a509e5c31772,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,58c515ea684d558e,url-shorten-service,compose_urls_server,1669667522325,1669667522325231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,dbe0eedbed3c48a6,1199fb88fffa2dd0,,,
1199fb88fffa2dd0,d2e972d4ad69f585,text-service,compose_user_mentions_client,1669667522325,1669667522325261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILD_OF,c267271a6be04638,1199fb88fffa2dd0,,,
